,SMILES
79,COCCn1c(COC)nc2ccccc21
80,NNc1ccccc1C(F)(F)F
81,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
82,[S-]c1nnc(-c2cccc(Br)c2)o1
83,CCSc1nnc([C@@H]([NH3+])Cc2ccccc2)o1
84,Clc1ccc2nc(-c3ccncc3)cc(-c3ccccc3)c2c1
85,c1ccc(-c2nc(Sc3ncnc4c3cnn4-c3ccccc3)n[nH]2)cc1
86,[S-]c1nnc(CSCc2ccccc2Cl)n1-c1ccccc1
87,NNc1ncnc2c1cnn2-c1ccccc1
88,[S-]c1nnc(CNc2cccc(Cl)c2)o1
89,FC(F)(F)c1cccc(Cn2nnnc2-c2ccc(Cl)cc2)c1
90,Oc1cc(-c2ccccc2)nc2nc(COc3ccccc3)nn12
91,COc1ccc(-c2noc(-c3ccccc3F)n2)cc1
92,N#Cc1ccc(CSc2nnc(-c3ccncc3)n2CCc2ccccc2)cc1
93,CC(C)c1cccc(C(C)C)c1OCCn1ccnc1
94,CCOc1ccc(-c2nc(-c3ccccc3)no2)cc1OCC
95,NSc1nc(N)c2nc(-c3ccccc3)c(-c3ccccc3)nc2n1
96,CCOc1nc(-c2ccccc2Cl)ccc1C#N
97,Clc1ccc(Br)cc1-c1nc(-c2ccncc2)no1
98,N#Cc1cc(N)ccc1Sc1ccc(Cl)cc1
99,Cn1nnnc1SCc1nnc(-c2ccc(Cl)cc2)o1
